'date','seven_day_moving_avg_prcp'
'2013-07-01',0.36249999999999998889
'2013-07-02',0.28999999999999998001
'2013-07-03',0.24166666666666666851
'2013-07-04',0.20714285714285712858
'2013-07-05',0.11857142857142856373
'2013-07-06',0.13999999999999998556
'2013-07-07',0.064285714285714293247
'2013-07-08',0.064285714285714293247
'2013-07-09',0.099999999999999991673
'2013-07-10',0.10857142857142856873
'2013-07-11',0.10857142857142856873
'2013-07-12',0.077142857142857151897
'2013-07-13',0.044285714285714282423
'2013-07-14',0.044285714285714282423
'2013-07-15',0.044285714285714282423
'2013-07-16',0.0085714285714285718548
'2013-07-17',0.0
'2013-07-18',0.0
'2013-07-19',0.0085714285714285718548
'2013-07-20',0.052857142857142859482
'2013-07-21',0.052857142857142859482
'2013-07-22',0.054285714285714284366
'2013-07-23',0.054285714285714284366
'2013-07-24',0.054285714285714284366
'2013-07-25',0.088571428571428564846
'2013-07-26',0.081428571428571433488
'2013-07-27',0.037142857142857144125
'2013-07-28',0.037142857142857144125
'2013-07-29',0.12857142857142858649
'2013-07-30',0.12857142857142858649
'2013-07-31',0.13714285714285714967
'2013-08-01',0.10285714285714285531
'2013-08-02',0.10142857142857142349
'2013-08-03',0.10142857142857142349
'2013-08-04',0.10142857142857142349
'2013-08-05',0.074285714285714288251
'2013-08-06',0.081428571428571433488
'2013-08-07',0.072857142857142856429
'2013-08-08',0.072857142857142856429
'2013-08-09',0.080000000000000001665
'2013-08-10',0.2014285714285714568
'2013-08-11',0.2014285714285714568
'2013-08-12',0.13571428571428570397
'2013-08-13',0.12857142857142858649
'2013-08-14',0.12857142857142858649
'2013-08-15',0.12857142857142858649
'2013-08-16',0.12142857142857142738
'2013-08-17',0.0
'2013-08-18',0.0
'2013-08-19',0.035714285714285712303
'2013-08-20',0.035714285714285712303
'2013-08-21',0.035714285714285712303
'2013-08-22',0.035714285714285712303
'2013-08-23',0.041428571428571425716
'2013-08-24',0.042857142857142857539
'2013-08-25',0.10428571428571428714
'2013-08-26',0.068571428571428574838
'2013-08-27',0.068571428571428574838
'2013-08-28',0.068571428571428574838
'2013-08-29',0.068571428571428574838
'2013-08-30',0.069999999999999992783
'2013-08-31',0.072857142857142856429
'2013-09-01',0.011428571428571428561
'2013-09-02',0.011428571428571428561
'2013-09-03',0.011428571428571428561
'2013-09-04',0.011428571428571428561
'2013-09-05',0.011428571428571428561
'2013-09-06',0.0042857142857142859274
'2013-09-07',0.0014285714285714285701
'2013-09-08',0.0014285714285714285701
'2013-09-09',0.23000000000000000999
'2013-09-10',0.23857142857142860092
'2013-09-11',0.23857142857142860092
'2013-09-12',0.23857142857142860092
'2013-09-13',0.24285714285714288251
'2013-09-14',0.24142857142857146457
'2013-09-15',0.24142857142857146457
'2013-09-16',0.012857142857142856914
'2013-09-17',0.0042857142857142859274
'2013-09-18',0.1071428571428571369
'2013-09-19',0.17142857142857143015
'2013-09-20',0.16714285714285712081
'2013-09-21',0.16714285714285712081
'2013-09-22',0.16714285714285712081
'2013-09-23',0.16714285714285712081
'2013-09-24',0.16714285714285712081
'2013-09-25',0.064285714285714293247
'2013-09-26',0.0
'2013-09-27',0.0
'2013-09-28',0.0
'2013-09-29',0.0
'2013-09-30',0.0
'2013-10-01',0.0
'2013-10-02',0.0
'2013-10-03',0.0
'2013-10-04',0.035714285714285712303
'2013-10-05',0.035714285714285712303
'2013-10-06',0.035714285714285712303
'2013-10-07',0.035714285714285712303
'2013-10-08',0.038571428571428575948
'2013-10-09',0.038571428571428575948
'2013-10-10',0.038571428571428575948
'2013-10-11',0.0028571428571428571403
'2013-10-12',0.0028571428571428571403
'2013-10-13',0.0028571428571428571403
'2013-10-14',0.0057142857142857142807
'2013-10-15',0.0028571428571428571403
'2013-10-16',0.0042857142857142859274
'2013-10-17',0.0042857142857142859274
'2013-10-18',0.0042857142857142859274
'2013-10-19',0.0042857142857142859274
'2013-10-20',0.0042857142857142859274
'2013-10-21',0.0014285714285714285701
'2013-10-22',0.0014285714285714285701
'2013-10-23',0.0
'2013-10-24',0.0
'2013-10-25',0.0
'2013-10-26',0.0
'2013-10-27',0.0
'2013-10-28',0.0085714285714285718548
'2013-10-29',0.027142857142857142183
'2013-10-30',0.027142857142857142183
'2013-10-31',0.027142857142857142183
'2013-11-01',0.027142857142857142183
'2013-11-02',0.027142857142857142183
'2013-11-03',0.027142857142857142183
'2013-11-04',0.037142857142857144125
'2013-11-05',0.018571428571428572062
'2013-11-06',0.018571428571428572062
'2013-11-07',0.018571428571428572062
'2013-11-08',0.018571428571428572062
'2013-11-09',0.022857142857142857123
'2013-11-10',0.022857142857142857123
'2013-11-11',0.0042857142857142859274
'2013-11-12',0.0042857142857142859274
'2013-11-13',0.011428571428571428561
'2013-11-14',0.015714285714285715356
'2013-11-15',0.047142857142857146068
'2013-11-16',0.042857142857142857539
'2013-11-17',0.042857142857142857539
'2013-11-18',0.042857142857142857539
'2013-11-19',0.052857142857142859482
'2013-11-20',0.045714285714285714246
'2013-11-21',0.041428571428571432655
'2013-11-22',0.010000000000000000208
'2013-11-23',0.08285714285714286531
'2013-11-24',0.36571428571428571396
'2013-11-25',0.36571428571428571396
'2013-11-26',0.35571428571428576059
'2013-11-27',0.35571428571428576059
'2013-11-28',0.35571428571428576059
'2013-11-29',0.35571428571428576059
'2013-11-30',0.28285714285714286253
'2013-12-01',0.0
'2013-12-02',0.0014285714285714285701
'2013-12-03',0.10571428571428571896
'2013-12-04',0.12571428571428572285
'2013-12-05',0.13714285714285714967
'2013-12-06',0.17999999999999999333
'2013-12-07',0.21285714285714285587
'2013-12-08',0.21285714285714285587
'2013-12-09',0.21142857142857143792
'2013-12-10',0.1071428571428571369
'2013-12-11',0.19142857142857142016
'2013-12-12',0.28285714285714286253
'2013-12-13',0.23999999999999999111
'2013-12-14',0.23428571428571426382
'2013-12-15',0.23428571428571426382
'2013-12-16',0.23428571428571426382
'2013-12-17',0.23428571428571426382
'2013-12-18',0.13142857142857142238
'2013-12-19',0.028571428571428574005
