'Borough','Zone','number_of_trips','average_duration_minutes'
'Manhattan','Upper West Side South',300749,15.787749917705461655
'Staten Island','Arden Heights',7151,16.467766745909663938
'Brooklyn','Midwood',87590,17.213197853636259537
'Brooklyn','Brighton Beach',60115,15.685319803709557362
'Brooklyn','Bedford',216058,17.754727897138732117
'Manhattan','Penn Station/Madison Sq West',330285,17.728734274944365267
'Queens','Saint Albans',101389,16.53088599354959598
'Brooklyn','East Flatbush/Remsen Village',162866,16.380809991035576445
'Queens','Richmond Hill',107381,15.392900047494435967
'Queens','Kew Gardens',52318,15.949271761152949977
'Manhattan','Midtown North',293782,17.757531094485027977
'Brooklyn','Flatlands',146954,16.898403582073303397
'Manhattan','World Trade Center',97185,21.489406801461129249
'Bronx','Riverdale/North Riverdale/Fieldston',41077,17.492100202059546632
'Bronx','Crotona Park East',76603,15.076080571257000073
'Manhattan','Garment District',212119,18.609813359482178185
'Manhattan','Hudson Sq',94295,17.417519486717218057
'Manhattan','Upper East Side North',421290,15.482278240641837996
'Manhattan','Lenox Hill East',259865,17.457449060088890746
'Manhattan','Midtown South',299682,17.494607617407787359
'Queens','Hillcrest/Pomonok',54738,17.950034710804192883
'Manhattan','Yorkville East',165451,12.22377017969066415
'Manhattan','Central Park',133668,16.072537929796212097
'Queens','Springfield Gardens South',45640,16.458172655565292075
'Queens','Howard Beach',33527,16.04122050884361883
'Bronx','West Concourse',153093,14.684466304795124713
'Queens','Rockaway Park',16131,21.746636910296942347
'Manhattan','Seaport',54682,19.762773856113529546
'Manhattan','Governor''s Island/Ellis Island/Liberty Island',13,17.461538461538459899
'Queens','Middle Village',52391,16.528277757630128519
'Queens','Jackson Heights',206185,16.405592065378179711
'Unknown','NA',28300,36.102968197879860667
'Manhattan','Stuy Town/Peter Cooper Village',50723,16.651519034757406245
'Brooklyn','Madison',65055,15.559895473061255088
'Manhattan','Kips Bay',218999,16.376421810145252777
'Manhattan','East Chelsea',333101,18.145505417275842319
'Manhattan','Battery Park City',128530,19.168637672138800098
'Brooklyn','Brooklyn Heights',108760,19.90920375137918441
'Brooklyn','Bushwick South',268959,18.683271427987165225
'Brooklyn','Clinton Hill',136031,18.345619748439695229
